Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps
2022-03-11 23:50:26-07:00,2022-03-12 07:46:26-07:00,7.933333333333334,37.81995,2022-03-12,,,,,16514.0
2022-03-13 03:02:01-07:00,2022-03-13 09:59:31-07:00,6.958333333333333,108.55005,2022-03-13,,,,,1129.0
2022-03-13 23:09:58-07:00,2022-03-14 07:25:58-07:00,8.266666666666667,64.4447,2022-03-14,,,,,16419.0
2022-03-15 00:51:17-07:00,2022-03-15 08:59:47-07:00,8.141666666666667,,2022-03-15,,,,,15328.0
2022-03-16 00:05:50-07:00,2022-03-16 07:29:50-07:00,7.4,38.9602,2022-03-16,,,,,23068.0
2022-03-17 01:44:41-07:00,2022-03-17 07:22:11-07:00,5.625,38.3354,2022-03-17,,,,,10988.0
2022-03-17 23:15:04-07:00,2022-03-18 07:08:04-07:00,7.883333333333334,58.85375,2022-03-18,,,,,14409.0
2022-03-19 00:10:50-07:00,2022-03-19 07:15:20-07:00,7.075,48.3745,2022-03-19,,,,,20816.0
2022-03-20 00:38:36-07:00,2022-03-20 08:42:36-07:00,8.066666666666666,40.2652,2022-03-20,,,,,8918.0
2022-03-21 00:03:26-07:00,2022-03-21 07:22:56-07:00,7.325,44.1395,2022-03-21,,,,,20534.0
2022-03-22 00:04:11-07:00,2022-03-22 07:14:41-07:00,7.175,54.953599999999994,2022-03-22,,,,,12236.0
2022-03-22 23:57:33-07:00,2022-03-23 06:55:03-07:00,6.958333333333333,43.315250000000006,2022-03-23,,,,,12079.0
2022-03-24 01:37:40-07:00,2022-03-24 05:54:10-07:00,4.275,67.8196,2022-03-24,,,,,42777.0
2022-03-25 01:57:08-07:00,2022-03-25 06:45:38-07:00,4.808333333333334,46.6619,2022-03-25,,,,,24996.0
2022-03-26 01:39:22-07:00,2022-03-26 06:13:52-07:00,4.575,49.2565,2022-03-26,,,,,28778.0
,,,,2022-03-27,,,,,5936.0
