Session Start,Session End,Total Sleep Duration (hrs),Average HRV (ms),Date,Awake Duration (hrs),REM Duration (hrs),Core Duration (hrs),Deep Duration (hrs),Total Steps,Total Standing Hours,Total Basal Energy Burned (kcal),Total Active Energy Burned (kcal),Total Exercise Minutes
2022-01-22 01:36:36-07:00,2022-01-22 11:01:06-07:00,9.408333333333333,37.093050000000005,2022-01-22,,,,,1112.0,4.0,1530.0109999999995,77.02799999999998,2.0
2022-01-23 01:26:36-07:00,2022-01-23 09:18:36-07:00,7.866666666666666,31.203200000000002,2022-01-23,,,,,1554.0,6.0,1541.0810000000008,135.2120000000001,
2022-01-24 00:53:03-07:00,2022-01-24 08:26:33-07:00,7.558333333333334,45.6405,2022-01-24,,,,,14948.0,13.0,1562.9409999999993,376.9700000000002,18.0
2022-01-25 01:13:08-07:00,2022-01-25 08:26:38-07:00,7.225,36.0991,2022-01-25,,,,,21376.0,11.0,1565.0390000000004,674.533,100.0
2022-01-26 00:23:29-07:00,2022-01-26 08:33:29-07:00,8.166666666666666,46.922200000000004,2022-01-26,,,,,27985.0,16.0,1625.2779999999984,594.513,32.0
2022-01-27 02:03:22-07:00,2022-01-27 08:25:22-07:00,6.366666666666666,62.667,2022-01-27,,,,,13780.0,12.0,1523.5039999999956,329.11299999999983,13.0
2022-01-28 01:27:29-07:00,2022-01-28 08:17:29-07:00,6.833333333333333,54.7481,2022-01-28,,,,,20617.0,12.0,1562.6980000000021,494.0919999999998,35.0
2022-01-29 00:55:59-07:00,2022-01-29 07:11:29-07:00,6.258333333333334,68.4602,2022-01-29,,,,,21446.0,17.0,1602.2559999999983,521.3020000000008,18.0
2022-01-30 00:33:33-07:00,2022-01-30 09:40:03-07:00,9.108333333333333,34.6339,2022-01-30,,,,,776.0,3.0,1516.5759999999993,40.216,
2022-01-31 00:51:18-07:00,2022-01-31 08:24:18-07:00,7.55,31.2353,2022-01-31,,,,,20384.0,13.0,1564.553000000007,518.6419999999997,36.0
2022-02-01 01:44:21-07:00,2022-02-01 08:16:51-07:00,6.541666666666667,66.1825,2022-02-01,,,,,20398.0,13.0,1556.5049999999967,588.7709999999998,76.0
,,,,2022-02-02,,,,,6917.0,,1515.1159999999998,,
2022-02-03 01:06:03-07:00,2022-02-03 08:22:33-07:00,7.275,34.8137,2022-02-03,,,,,17206.0,12.0,1560.9800000000052,427.26099999999974,30.0
2022-02-04 00:58:18-07:00,2022-02-04 08:09:18-07:00,7.183333333333334,56.365,2022-02-04,,,,,24248.0,9.0,1617.7660000000021,424.61799999999994,25.0
2022-02-05 02:09:34-07:00,2022-02-05 08:08:34-07:00,5.983333333333333,38.3359,2022-02-05,,,,,13415.0,12.0,1531.9679999999973,325.81500000000017,5.0
2022-02-06 02:24:06-07:00,2022-02-06 09:37:06-07:00,7.216666666666667,80.1519,2022-02-06,,,,,9610.0,7.0,1569.7789999999982,216.69500000000005,9.0
2022-02-07 01:43:22-07:00,2022-02-07 08:22:22-07:00,6.65,48.49405,2022-02-07,,,,,10134.0,11.0,1500.9889999999994,218.34099999999995,9.0
2022-02-08 01:32:40-07:00,2022-02-08 08:19:40-07:00,6.783333333333333,36.411950000000004,2022-02-08,,,,,10465.0,10.0,1584.3679999999981,254.9910000000002,13.0
2022-02-09 01:41:32-07:00,2022-02-09 08:19:32-07:00,6.633333333333334,31.53855,2022-02-09,,,,,8748.0,9.0,1522.8460000000002,220.41499999999994,8.0
